Disease_Trait,Taxa_String,N_Unique_Sample,Taxa,N_Microbes,Compartment,Package,Model,pVal,R_Squared,Adj_R_Squared,x_Trait_Slope_95CI,Intercept_95CI,Parameters,Estimated_Parameter_95CI,AIC,AICc,Minimum_AIC,Minimum_AICc,Best_model
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Tenericutes___D_2__Mollicutes___D_3__Mycoplasmatales___D_4__Mycoplasmataceae___D_5__Mycoplasma,8,Mycoplasma,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.836918912,0.002728286,-0.061326413,3.905577754,0.12652719321988 + 2.01067095532221 - -1.90932904467779,"lambda=l,delta=ML,kappa=1",3 -/+ 1.22256212308327,-35.06516047,-34.26516047,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Tenericutes___D_2__Mollicutes___D_3__Mycoplasmatales___D_4__Mycoplasmataceae___D_5__Mycoplasma,8,Mycoplasma,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.260403019,0.078411717,-0.061326413,3.829901491,0.131754474478905 + 2.0150581874654 - -1.9049418125346,"lambda=1,delta=1,kappa=ML",0.103068908060086 -/+ 0.834527006261316,-36.07934118,-35.27934118,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Archaea___D_1__Thaumarchaeota___D_2__Nitrososphaeria___D_3__Nitrosopumilales___D_4__Nitrosopumilaceae___D_5__Candidatus_Nitrosopumilus,17,Nitrosopumilus,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.088536227,0.170520522,0.118678054,3.918243545,0.156097016867444 + 2.06126088949614 - -1.85873911050386,"lambda=1,delta=1,kappa=1",NA,-33.81862013,-33.01862013,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Archaea___D_1__Thaumarchaeota___D_2__Nitrososphaeria___D_3__Nitrosopumilales___D_4__Nitrosopumilaceae___D_5__Candidatus_Nitrosopumilus,17,Nitrosopumilus,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.045581978,0.227063194,0.118678054,3.917822401,0.172208993986328 + 1.98275595108247 - -1.93724404891753,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.806739502697231,-42.86834932,-42.06834932,model_l,model_l,yes
growth_rate_mm_per_year,skeleton_D_0__Archaea___D_1__Thaumarchaeota___D_2__Nitrososphaeria___D_3__Nitrosopumilales___D_4__Nitrosopumilaceae___D_5__Candidatus_Nitrosopumilus,17,Nitrosopumilus,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.084890264,0.174141079,0.118678054,3.918198724,0.155389550873025 + 2.00862974816917 - -1.91137025183083,"lambda=l,delta=ML,kappa=1",3 -/+ 1.23760739780973,-38.45994792,-37.65994792,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Archaea___D_1__Thaumarchaeota___D_2__Nitrososphaeria___D_3__Nitrosopumilales___D_4__Nitrosopumilaceae___D_5__Candidatus_Nitrosopumilus,17,Nitrosopumilus,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.158213329,0.120458938,0.118678054,3.918225413,0.156114276427207 + 2.0240487672045 - -1.8959512327955,"lambda=1,delta=1,kappa=ML",0.322355108261392 -/+ 1.06348390807519,-37.04227781,-36.24227781,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Acidobacteria___D_2__Thermoanaerobaculia___D_3__Thermoanaerobaculales___D_4__Thermoanaerobaculaceae___D_5__Subgroup_10,17,10,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.038966836,0.240156881,0.192666686,3.916297068,0.147612691958069 + 2.05611713351966 - -1.86388286648034,"lambda=1,delta=1,kappa=1",NA,-35.39697497,-34.59697497,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Acidobacteria___D_2__Thermoanaerobaculia___D_3__Thermoanaerobaculales___D_4__Thermoanaerobaculaceae___D_5__Subgroup_10,17,10,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.011754018,0.335594819,0.192666686,3.913873364,0.174800154188627 + 1.97997804313366 - -1.94002195686634,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.821877346723416,-45.59184144,-44.79184144,model_l,model_l,yes
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Acidobacteria___D_2__Thermoanaerobaculia___D_3__Thermoanaerobaculales___D_4__Thermoanaerobaculaceae___D_5__Subgroup_10,17,10,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.035216017,0.248542588,0.192666686,3.916068931,0.14799335542679 + 2.00477288528745 - -1.91522711471255,"lambda=l,delta=ML,kappa=1",3 -/+ 1.27102951562911,-40.15931757,-39.35931757,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Acidobacteria___D_2__Thermoanaerobaculia___D_3__Thermoanaerobaculales___D_4__Thermoanaerobaculaceae___D_5__Subgroup_10,17,10,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.019106565,0.297975388,0.192666686,3.913431764,0.162758303899145 + 2.00757063291764 - -1.91242936708236,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.870034925048454,-40.66820713,-39.86820713,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Actinobacteria___D_2__Actinobacteria___D_3__Micrococcales___D_4__Promicromonosporaceae___D_5__Cellulosimicrobium,4,Cellulosimicrobium,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.961452425,0.000160987,-0.066494947,3.919830468,0.131528990909783 + 2.06951497696649 - -1.85048502303351,"lambda=1,delta=1,kappa=1",NA,-28.92114727,-28.06400441,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Actinobacteria___D_2__Actinobacteria___D_3__Micrococcales___D_4__Promicromonosporaceae___D_5__Cellulosimicrobium,4,Cellulosimicrobium,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.592633624,0.019535239,-0.066494947,3.91891581,0.1438296656222 + 1.9800195066166 - -1.9399804933834,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.960577165187192,-35.73182709,-34.87468424,model_l,model_l,yes
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Actinobacteria___D_2__Actinobacteria___D_3__Micrococcales___D_4__Promicromonosporaceae___D_5__Cellulosimicrobium,4,Cellulosimicrobium,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.85504433,0.002297647,-0.066494947,3.919464232,0.13283184128575 + 2.01207867811728 - -1.90792132188272,"lambda=l,delta=ML,kappa=1",3 -/+ 1.16946379713337,-33.3276043,-32.47046144,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Actinobacteria___D_2__Actinobacteria___D_3__Micrococcales___D_4__Promicromonosporaceae___D_5__Cellulosimicrobium,4,Cellulosimicrobium,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.998232489,3.38E-07,-0.066494947,4.43145941315254e-06 + 1.96196739458949 - -1.95803260541051,0.127273954056006 + 2.02052063585159 - -1.89947936414841,"lambda=1,delta=1,kappa=ML",0.226949794711997 -/+ 0.919838354965979,-33.65876046,-32.8016176,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Bacteroidetes___D_2__Bacteroidia___D_3__Cytophagales___D_4__Amoebophilaceae___D_5__Candidatus_Amoebophilus,19,Amoebophilus,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.663355405,0.012143008,-0.049598054,3.919904774,0.130280110554363 + 2.06938152148742 - -1.85061847851258,"lambda=1,delta=1,kappa=1",NA,-30.67330782,-29.87330782,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Bacteroidetes___D_2__Bacteroidia___D_3__Cytophagales___D_4__Amoebophilaceae___D_5__Candidatus_Amoebophilus,19,Amoebophilus,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.528205031,0.025326023,-0.049598054,0.000192922930721205 + 1.96029920582815 - -1.95970079417185,0.128858482789162 + 1.9834149427434 - -1.9365850572566,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.915827446174256,-38.69404602,-37.89404602,model_l,model_l,yes
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Bacteroidetes___D_2__Bacteroidia___D_3__Cytophagales___D_4__Amoebophilaceae___D_5__Candidatus_Amoebophilus,19,Amoebophilus,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.738779469,0.007144835,-0.049598054,3.919923831,0.127962955930455 + 2.01082400552915 - -1.90917599447085,"lambda=l,delta=ML,kappa=1",3 -/+ 1.18821282915636,-35.14505288,-34.34505288,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Bacteroidetes___D_2__Bacteroidia___D_3__Cytophagales___D_4__Amoebophilaceae___D_5__Candidatus_Amoebophilus,19,Amoebophilus,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.918558039,0.000673945,-0.049598054,2.82580405016024e-05 + 1.9602720341219 - -1.9597279658781,0.125284580943751 + 2.02262412525785 - -1.89737587474215,"lambda=1,delta=1,kappa=ML",0.234541397583739 -/+ 0.97435188883355,-34.78507138,-33.98507138,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Bacteroidetes___D_2__Bacteroidia___D_3__Cytophagales___D_4__Cyclobacteriaceae___D_5__uncultured,17,uncultured,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.527146455,0.025454567,-0.035454523,3.919742631,0.132699084066779 + 2.06874143271728 - -1.85125856728272,"lambda=1,delta=1,kappa=1",NA,-30.91751026,-30.11751026,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Bacteroidetes___D_2__Bacteroidia___D_3__Cytophagales___D_4__Cyclobacteriaceae___D_5__uncultured,17,uncultured,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.914906233,0.000735951,-0.035454523,3.919938062,0.139916302314831 + 1.98490825806019 - -1.93509174193981,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.942515107866794,-38.2455576,-37.4455576,model_l,model_l,yes
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Bacteroidetes___D_2__Bacteroidia___D_3__Cytophagales___D_4__Cyclobacteriaceae___D_5__uncultured,17,uncultured,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.567323662,0.020875346,-0.035454523,3.919757558,0.130747183523618 + 2.01072486407314 - -1.90927513592686,"lambda=l,delta=ML,kappa=1",3 -/+ 1.18972087650252,-35.3957179,-34.5957179,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Bacteroidetes___D_2__Bacteroidia___D_3__Cytophagales___D_4__Cyclobacteriaceae___D_5__uncultured,17,uncultured,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.584293861,0.019116427,-0.035454523,3.919749418,0.132419461397552 + 2.02262302833093 - -1.89737697166907,"lambda=1,delta=1,kappa=ML",0.256774431190573 -/+ 0.965819834204383,-35.12147266,-34.32147266,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Bacteroidetes___D_2__Chlorobia___D_3__Chlorobiales___D_4__Chlorobiaceae___D_5__Prosthecochloris,10,Prosthecochloris,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.580619898,0.019488821,-0.041793127,3.919845371,0.128851521551603 + 2.06874065111122 - -1.85125934888878,"lambda=1,delta=1,kappa=1",NA,-30.80765794,-30.00765794,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Bacteroidetes___D_2__Chlorobia___D_3__Chlorobiales___D_4__Chlorobiaceae___D_5__Prosthecochloris,10,Prosthecochloris,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.529887673,0.02512261,-0.041793127,0.000310166128498106 + 1.96048303322229 - -1.95951696677771,0.130614434016382 + 1.98331858783111 - -1.93668141216889,"lambda=ML,delta=1,kappa=1",0.0628822917022906 -/+ 0.92011027082227,-38.56213865,-37.76213865,model_l,model_l,yes
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Bacteroidetes___D_2__Chlorobia___D_3__Chlorobiales___D_4__Chlorobiaceae___D_5__Prosthecochloris,10,Prosthecochloris,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.682758714,0.010712878,-0.041793127,3.919879,0.127240765720576 + 2.01033049533392 - -1.90966950466608,"lambda=l,delta=ML,kappa=1",3 -/+ 1.16899971872046,-35.20985635,-34.40985635,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Bacteroidetes___D_2__Chlorobia___D_3__Chlorobiales___D_4__Chlorobiaceae___D_5__Prosthecochloris,10,Prosthecochloris,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.198976735,0.100896953,-0.041793127,0.000569038921705292 + 1.96042466619507 - -1.95957533380493,0.122080012830887 + 2.01153205845796 - -1.90846794154204,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.812838877896035,-36.21448173,-35.41448173,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Chloroflexi___D_2__Chloroflexia___D_3__Chloroflexales___D_4__Chloroflexaceae___D_5__Candidatus_Chlorothrix,8,Chlorothrix,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.00838086,0.360861105,0.320914924,0.0217774186271251 + 1.96724559399273 - -1.95275440600727,0.10427455315288 + 2.04805390402395 - -1.87194609597605,"lambda=1,delta=1,kappa=1",NA,-38.51079849,-37.71079849,model_d,model_d,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Chloroflexi___D_2__Chloroflexia___D_3__Chloroflexales___D_4__Chloroflexaceae___D_5__Candidatus_Chlorothrix,8,Chlorothrix,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.911356382,0.00079887,0.320914924,0.00130984816159967 + 1.97158108947766 - -1.94841891052234,0.13694474080428 + 1.98144993093174 - -1.93855006906826,"lambda=ML,delta=1,kappa=1",1e-06 -/+ NA,-38.246691,-37.446691,model_d,model_d,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Chloroflexi___D_2__Chloroflexia___D_3__Chloroflexales___D_4__Chloroflexaceae___D_5__Candidatus_Chlorothrix,8,Chlorothrix,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.023874361,0.2802225,0.320914924,0.0196978168011826 + 1.96789233905084 - -1.95210766094916,0.104981875038237 + 2.00350330067729 - -1.91649669932271,"lambda=l,delta=ML,kappa=1",3 -/+ 0.560669543309646,-40.93462078,-40.13462078,model_d,model_d,yes
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Chloroflexi___D_2__Chloroflexia___D_3__Chloroflexales___D_4__Chloroflexaceae___D_5__Candidatus_Chlorothrix,8,Chlorothrix,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.008270829,0.361832579,0.320914924,0.0217984933611043 + 1.96723735651911 - -1.95276264348089,0.104251870193683 + 2.0481817659743 - -1.8718182340257,"lambda=1,delta=1,kappa=ML",1.00246842186223 -/+ 2.11167886152247,-38.51081821,-37.71081821,model_d,model_d,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Firmicutes___D_2__Clostridia___D_3__Clostridiales___D_4__Clostridiaceae_4___D_5__Paramaledivibacter,17,Paramaledivibacter,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.800650317,0.004102868,-0.058140702,8.39212276351248e-05 + 1.96032687017175 - -1.95967312982825,0.12502373606803 + 2.06970852289342 - -1.85029147710658,"lambda=1,delta=1,kappa=1",NA,-30.5273993,-29.7273993,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Firmicutes___D_2__Clostridia___D_3__Clostridiales___D_4__Clostridiaceae_4___D_5__Paramaledivibacter,17,Paramaledivibacter,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.253085831,0.080759527,-0.058140702,3.919390491,0.150902919546337 + 1.98114482077281 - -1.93885517922719,"lambda=ML,delta=1,kappa=1",0.0037928180877486 -/+ 0.86532440186546,-39.74134813,-38.94134813,model_l,model_l,yes
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Firmicutes___D_2__Clostridia___D_3__Clostridiales___D_4__Clostridiaceae_4___D_5__Paramaledivibacter,17,Paramaledivibacter,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.876380343,0.001559175,-0.058140702,5.43902129653521e-05 + 1.96034409198982 - -1.95965590801018,0.124242373819865 + 2.01074385404948 - -1.90925614595052,"lambda=l,delta=ML,kappa=1",3 -/+ 1.20152247989165,-35.04407125,-34.24407125,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Firmicutes___D_2__Clostridia___D_3__Clostridiales___D_4__Clostridiaceae_4___D_5__Paramaledivibacter,17,Paramaledivibacter,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.559931244,0.021673109,-0.058140702,3.919733453,0.131440808085108 + 2.01934192597324 - -1.90065807402676,"lambda=1,delta=1,kappa=ML",0.173787097047083 -/+ 0.92486077029096,-35.12489944,-34.32489944,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Dstr_E11___D_4__uncultured_alpha_proteobacterium___D_5__uncultured_alpha_proteobacterium,9,proteobacterium,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.169062967,0.114773614,0.059446965,3.917458937,0.131760677959884 + 2.06331706062715 - -1.85668293937285,"lambda=1,delta=1,kappa=1",NA,-32.64780929,-31.84780929,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Dstr_E11___D_4__uncultured_alpha_proteobacterium___D_5__uncultured_alpha_proteobacterium,9,proteobacterium,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.208972012,0.096753963,0.059446965,3.915752438,0.149414236537271 + 1.97976591130363 - -1.94023408869637,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.890988333779964,-40.06399092,-39.26399092,model_l,model_l,yes
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Dstr_E11___D_4__uncultured_alpha_proteobacterium___D_5__uncultured_alpha_proteobacterium,9,proteobacterium,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.192393055,0.103750604,0.059446965,3.917439299,0.130630272734872 + 2.00785339414673 - -1.91214660585327,"lambda=l,delta=ML,kappa=1",3 -/+ 1.15022086893354,-36.9876423,-36.1876423,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Dstr_E11___D_4__uncultured_alpha_proteobacterium___D_5__uncultured_alpha_proteobacterium,9,proteobacterium,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.356657447,0.053304954,0.059446965,3.917479268,0.130633694006989 + 2.02386267555013 - -1.89613732444987,"lambda=1,delta=1,kappa=ML",0.336728365091023 -/+ 1.08474398377059,-35.69955804,-34.89955804,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhodobacterales___D_4__Rhodobacteraceae___D_5__Ruegeria,15,Ruegeria,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.929030002,0.000511386,-0.061956653,3.919708475,0.129316998425488 + 2.07355328845817 - -1.84644671154183,"lambda=1,delta=1,kappa=1",NA,-30.46260305,-29.66260305,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhodobacterales___D_4__Rhodobacteraceae___D_5__Ruegeria,15,Ruegeria,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.331332479,0.059027401,-0.061956653,3.917488475,0.153640027306777 + 1.98385929349304 - -1.93614070650696,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.897229042805946,-39.32744825,-38.52744825,model_l,model_l,yes
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhodobacterales___D_4__Rhodobacteraceae___D_5__Ruegeria,15,Ruegeria,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.832247994,0.002888967,-0.061956653,3.919333731,0.131079497817148 + 2.01710928604724 - -1.90289071395276,"lambda=l,delta=ML,kappa=1",3 -/+ 1.22679946407831,-35.06806088,-34.26806088,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhodobacterales___D_4__Rhodobacteraceae___D_5__Ruegeria,15,Ruegeria,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.483550218,0.031152793,-0.061956653,3.918003699,0.147473282027156 + 2.02647838422734 - -1.89352161577266,"lambda=1,delta=1,kappa=ML",0.210500507430576 -/+ 0.90483445132676,-35.33268563,-34.53268563,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhodospirillales___D_4__Terasakiellaceae___D_5__uncultured,15,uncultured,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.003867492,0.415697881,0.379178999,0.000429472524277843 + 1.96012729320424 - -1.95987270679576,0.122684359307169 + 2.04389813606234 - -1.87610186393766,"lambda=1,delta=1,kappa=1",NA,-40.12546361,-39.32546361,model_d,model_d,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhodospirillales___D_4__Terasakiellaceae___D_5__uncultured,15,uncultured,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.006848669,0.375572289,0.379178999,0.000417080929104208 + 1.96013444809537 - -1.95986555190463,0.122726818751541 + 2.03868467313539 - -1.88131532686461,"lambda=ML,delta=1,kappa=1",0.986045789455875 -/+ NA,-40.30596137,-39.50596137,model_d,model_d,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhodospirillales___D_4__Terasakiellaceae___D_5__uncultured,15,uncultured,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.007767587,0.366430845,0.379178999,0.000424040100022369 + 1.96013939523802 - -1.95986060476198,0.121530223680939 + 2.00011576772681 - -1.91988423227319,"lambda=l,delta=ML,kappa=1",3 -/+ 0.767051202487598,-43.2309344,-42.4309344,model_d,model_d,yes
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhodospirillales___D_4__Terasakiellaceae___D_5__uncultured,15,uncultured,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.008197834,0.362483546,0.379178999,0.000421035822565708 + 1.96013959202475 - -1.95986040797525,0.123266719419273 + 2.03489734019491 - -1.88510265980509,"lambda=1,delta=1,kappa=ML",0.820009907886227 -/+ 1.55649986699405,-40.33842199,-39.53842199,model_d,model_d,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rickettsiales___D_4__Midichloriaceae___D_5__MD3_55,4,55,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.00855798,0.35932135,0.319278935,0.303559953148532 + 2.0613358465894 - -1.8586641534106,0.115403804819808 + 2.04792417471467 - -1.87207582528533,"lambda=1,delta=1,kappa=1",NA,-38.46748669,-37.66748669,model_d,model_d,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rickettsiales___D_4__Midichloriaceae___D_5__MD3_55,4,55,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.06708976,0.19432435,0.319278935,0.222625391795678 + 2.07332643128212 - -1.84667356871788,0.119926141524106 + 2.02137966146351 - -1.89862033853649,"lambda=ML,delta=1,kappa=1",0.867642551836409 -/+ NA,-39.31784893,-38.51784893,model_d,model_d,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rickettsiales___D_4__Midichloriaceae___D_5__MD3_55,4,55,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.015233337,0.315708557,0.319278935,0.29031791651992 + 2.06685410855727 - -1.85314589144273,0.115475671524744 + 2.00182643829524 - -1.91817356170476,"lambda=l,delta=ML,kappa=1",3 -/+ 0.852974790976409,-41.84466878,-41.04466878,model_d,model_d,yes
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rickettsiales___D_4__Midichloriaceae___D_5__MD3_55,4,55,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.026785852,0.270934644,0.319278935,0.26513622236872 + 2.06873266526529 - -1.85126733473471,0.116371877118849 + 2.03116097670519 - -1.88883902329481,"lambda=1,delta=1,kappa=ML",0.672552434101124 -/+ 1.48914617324316,-39.05137094,-38.25137094,model_d,model_d,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Deltaproteobacteria___D_3__Desulfobacterales___D_4__Desulfobacteraceae___D_5__Desulfobacter,5,Desulfobacter,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.750946374,0.006474658,-0.055620676,0.00471212777263453 + 1.97459278293049 - -1.94540721706951,0.124271867079271 + 2.06964230693963 - -1.85035769306037,"lambda=1,delta=1,kappa=1",NA,-30.57031853,-29.77031853,model_l,model_l,
